dataset,measure,value,region,period,typ
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),7347662.42,dolnośląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),11907431.67,kujawsko-pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),28619804.02,lubelskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),2645713.84,lubuskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),17894690.1,łódzkie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),27484138.75,małopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),32263460.05,mazowieckie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),4585948.66,opolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),16541238.51,podkarpackie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),15868584.26,podlaskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),7597172.46,pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),6110935.67,śląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),12587175.42,świętokrzyskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),7990672.17,warmińsko-mazurskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),21919636.62,wielkopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Składkowy (ubezpieczenie wypadkowe i chorobowe i macierzyńskie),4506191.75,zachodniopomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),505708208,OGÓŁEM,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),18358154.91,dolnośląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),28733104.93,kujawsko-pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),63229560.75,lubelskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),6687653.47,lubuskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),39478450.21,łódzkie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),56639255.43,małopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),70579423.65,mazowieckie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),11142797.64,opolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),36230871.25,podkarpackie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),34074986.18,podlaskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),17822374.76,pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),14264440.45,śląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),27216231.02,świętokrzyskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),19038838.13,warmińsko-mazurskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),50167653.36,wielkopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wpływy z tytułu należności składkowych Fundusz Emerytalno-Rentowy (ubezpieczenie emerytalno-rentowe),12044411.86,zachodniopomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.69%,OGÓŁEM,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.75%,dolnośląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.05%,kujawsko-pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),101.25%,lubelskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.52%,lubuskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.59%,łódzkie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.38%,małopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),101.54%,mazowieckie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.54%,opolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.59%,podkarpackie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.38%,podlaskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.03%,pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.73%,śląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),101.04%,świętokrzyskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.09%,warmińsko-mazurskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.15%,wielkopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Wskaźnik ściągalności (wpływy ogółem/przypis ogółem),100.62%,zachodniopomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,15127463,OGÓŁEM,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,235630,dolnośląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,516405,kujawsko-pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,2042803,lubelskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,87006,lubuskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,947537,łódzkie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,2878937,małopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,1760239,mazowieckie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,273795,opolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,1690124,podkarpackie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,1122678,podlaskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,496596,pomorskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,290378,śląskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,945706,świętokrzyskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,461611,warmińsko-mazurskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,1276087,wielkopolskie,2025,
TABLICA 7 (36). PRZYPIS I WPŁYWY NALEŻNOŚCI Z TYTUŁU SKŁADEK NA UBEZPIECZENIE SPOŁECZNE ROLNIKÓW WEDŁUG WOJEWÓDZTW,Składki finansowane z budżetu państwa na ubezpieczenie emerytalno-rentowe za osoby sprawujące opiekę nad dzieckiem,101931,zachodniopomorskie,2025,
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji i postępowań umorzonych,79 889,,2025-Q1,OGÓŁEM
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji i postępowań umorzonych,8 915,,2025-Q1,Emerytury razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji i postępowań umorzonych,70 974,,2025-Q1,Renty razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji i postępowań umorzonych,11 733,,2025-Q1,Renty z tytułu niezdolności do pracy razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji i postępowań umorzonych,470,,2025-Q1,Renty z tytułu niezdolności do pracy razem w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji i postępowań umorzonych,59 241,,2025-Q1,Renty rodzinne
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji Ogółem,79 179,,2025-Q1,OGÓŁEM
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji Ogółem,8 804,,2025-Q1,Emerytury razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji Ogółem,70 375,,2025-Q1,Renty razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji Ogółem,11 589,,2025-Q1,Renty z tytułu niezdolności do pracy razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji Ogółem,462,,2025-Q1,Renty z tytułu niezdolności do pracy razem w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji Ogółem,58 786,,2025-Q1,Renty rodzinne
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji przyznających świadczenia,77 514,,2025-Q1,OGÓŁEM
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji przyznających świadczenia,8 346,,2025-Q1,Emerytury razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji przyznających świadczenia,69 168,,2025-Q1,Renty razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji przyznających świadczenia,10 528,,2025-Q1,Renty z tytułu niezdolności do pracy razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji przyznających świadczenia,395,,2025-Q1,Renty z tytułu niezdolności do pracy razem w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji przyznających świadczenia,58 640,,2025-Q1,Renty rodzinne
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji odmownych,1 665,,2025-Q1,OGÓŁEM
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji odmownych,458,,2025-Q1,Emerytury razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji odmownych,1 207,,2025-Q1,Renty razem
TABLICA 7. DECYZJE I POSTĘPOWANIA UMORZONE W SPRAWACH O EMERYTURY I RENTY WEDŁUG WOJEWÓDZTW,Liczba wydanych decyzji odmownych,1 061,,2025-Q1,Renty z tytułu niezdolności do pracy razem
